,frontalpole-lh,frontalpole-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,temporalpole-rh
frontalpole-lh,0.2463768115942029,0.2608695652173913,0.2318840579710145,0.2608695652173913,0.0,0.0,0.0,0.0
frontalpole-rh,0.1565217391304348,0.4434782608695652,0.19130434782608696,0.20869565217391303,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.21686746987951808,0.26506024096385544,0.25301204819277107,0.26506024096385544,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.20454545454545456,0.25,0.22727272727272727,0.3181818181818182,0.0,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
