,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.057544133424363604,0.007509997074027114,0.011118696966741441,0.0,0.014824929288988589,0.013947137423193211,0.026723885691992588,0.023407783087876718,0.001755583731590754,0.010338437530478884,0.015507656295718326,0.006827270067297377,0.004388959328976885,0.006339607919633278,0.005461816053837901,0.008972983517019409,0.004974153906173803,0.018823758899834196,0.015800253584316786,0.009948307812347606,0.012679215839266556,0.03491660977274944,0.022237393933482882,0.01706817516824344,0.025163366819467473,0.0006827270067297376,0.010240905100946064,0.015312591436652687,0.025358431678533112,0.021457134497220327,0.02292012094021262,0.043694528430703206,0.0039988296108456065,0.04262167170584219,0.01150882668487272,0.003706232322247147,0.005266751194772262,0.023212718228811078,0.0030235053155174096,0.020676875060957767,0.021652199356285966,0.0361845313566761,0.029552326148444358,0.02906466400078026,0.010533502389544524,0.029357261289378718,0.03540427192041354,0.006827270067297377,0.010338437530478884,0.017848434604505997,0.028577001853116162,0.014044669852726031,0.011898956403003999,0.011703891543938359,0.015897786013849606,0.01716570759777626,0.008095191651224031,0.001755583731590754,0.0040963620403784255,0.011021164537208621,0.007705061933092753,0.00575441334243636,0.005559348483370721
Fz,0.006424176619616359,0.05555555555555555,0.009591024249004706,0.029406442272891783,0.021353601158161418,0.005700325732899023,0.005247918928700687,0.0167390517553384,0.017553384002895404,0.024520448787549765,0.01004343105320304,0.022982265653275425,0.028049221860296777,0.008052841114730366,0.012667390517553384,0.029406442272891783,0.006967064784654361,0.020810712993123415,0.010857763300760043,0.034563879840752806,0.039359391965255154,0.017010495837857402,0.0042526239594643505,0.014477017734346724,0.007962359753890699,0.02714440825190011,0.029315960912052116,0.0002714440825190011,0.013843648208469055,0.010676800579080709,0.019001085776330078,0.018367716250452408,0.017191458559536736,0.008143322475570033,0.004976474846181686,0.03076366268548679,0.008324285197249367,0.010676800579080709,0.022348896127397756,0.016648570394498734,0.003076366268548679,0.013300760043431054,0.007057546145494028,0.003076366268548679,0.03311617806731813,0.0015381831342743395,0.0,0.005971769815418024,0.032120883098081796,0.006876583423814694,0.0053384002895403545,0.008143322475570033,0.02596815056098444,0.0033478103510676802,0.023072747014115092,0.009591024249004706,0.022982265653275425,0.02596815056098444,0.013753166847629388,0.007238508867173362,0.004343105320304018,0.017462902642055737,0.029406442272891783
F3,0.00881057268722467,0.008967904342353682,0.04491818753933292,0.02076777847702958,0.025409062303335433,0.022655758338577723,0.018329137822529894,0.008574575204531152,0.02855569540591567,0.021239773442416614,0.021239773442416614,0.018722466960352423,0.011642542479546885,0.007315921963499056,0.01958779106356199,0.008574575204531152,0.00959723096286973,0.017935808684707365,0.005585273757079925,0.018643801132787918,0.007787916928886092,0.010777218376337319,0.01667715544367527,0.010777218376337319,0.010698552548772814,0.020217117684078037,0.012665198237885462,0.016126494650723727,0.02092511013215859,0.013609188168659534,0.0008653241032095658,0.012429200755191945,0.012429200755191945,0.010855884203901826,0.021554436752674638,0.014159848961611076,0.01777847702957835,0.007866582756450597,0.020374449339207047,0.018801132787916928,0.014631843926998112,0.007473253618628068,0.012429200755191945,0.015025173064820641,0.008023914411579609,0.01667715544367527,0.017463813719320327,0.009518565135305223,0.017385147891755822,0.012665198237885462,0.01195720578980491,0.016047828823159218,0.021397105097545627,0.01659848961611076,0.025723725613593457,0.024543738200125866,0.011485210824417873,0.019509125235997484,0.014710509754562617,0.02658904971680302,0.015418502202643172,0.02210509754562618,0.01817180616740088
FT9,0.0,0.02672071475843812,0.021178027796161483,0.05129053606882859,0.020764394440767702,0.01886168100595632,0.006369953673064196,0.00885175380542687,0.032759761747187296,0.02630708140304434,0.017372600926538716,0.026058901389808074,0.025976174718729317,0.013236267372600927,0.025066181336863006,0.015635340833884844,0.005211780277961615,0.013318994043679682,0.004963600264725348,0.029947054930509597,0.020764394440767702,0.011250827266710787,0.010092653871608206,0.014394440767703508,0.007114493712772998,0.03995698213103905,0.01728987425545996,0.004549966909331568,0.014394440767703508,0.012078093977498346,0.001985440105890139,0.007445400397088021,0.02854070152217075,0.0,0.010092653871608206,0.038964262078093975,0.014394440767703508,0.003226340172071476,0.022667107875579087,0.016131700860357378,0.007114493712772998,0.008189940436796824,0.006121773659827929,0.007031767041694242,0.016214427531436135,0.002399073461283918,0.004467240238252812,0.00727994705493051,0.018530774321641297,0.004549966909331568,0.00157180675049636,0.010754467240238253,0.027382528127068168,0.004549966909331568,0.02183984116479153,0.01695896757114494,0.02068166776968895,0.02630708140304434,0.025976174718729317,0.013070814030443415,0.006121773659827929,0.03102250165453342,0.026637988087359364
FC5,0.01036412630415256,0.017135355489532232,0.02259379534305258,0.018033579769225455,0.04850411110343398,0.012160574863539003,0.012851516617149174,0.016168037034477993,0.02114281766047122,0.017273543840254268,0.016582602086644097,0.014924341877979686,0.02231741864160851,0.015131624404062738,0.018240862295308507,0.01692807296344918,0.0070476058868237405,0.025150279831410213,0.00801492434187798,0.020866440959027153,0.025564844883576316,0.020175499205416985,0.0169971671388102,0.018793615698196642,0.009396807849098321,0.014440682650452567,0.01692807296344918,0.006702135010018656,0.031230567263179715,0.021073723485110205,0.0030401437158847507,0.016858978788088164,0.009120431147654253,0.014647965176535618,0.014993436053340704,0.010985973882401714,0.009465902024459337,0.007669453465072894,0.02238651281696953,0.023215642921301734,0.016098942859116977,0.01623713120983901,0.008982242796932218,0.019000898224279694,0.01222966903890002,0.012160574863539003,0.01692807296344918,0.004491121398466109,0.019968216679333933,0.012091480688177987,0.012920610792510192,0.017273543840254268,0.01672079043736613,0.010225937953430526,0.02356111379810682,0.01319698749395426,0.0084985835694051,0.018033579769225455,0.009120431147654253,0.017342638015615284,0.007807641815794929,0.015200718579423754,0.016789884612727148
FC1,0.00979458577064345,0.0042851312746565095,0.01965718949802748,0.015916201877295606,0.011903142429601415,0.04366752822745205,0.015168004353149231,0.007754047068426064,0.02367024894572167,0.025982859474901376,0.028499523874302816,0.018908991973881104,0.005985580193170997,0.01115494490545504,0.021969800027207182,0.007209903414501428,0.017480614882328934,0.004489185144878248,0.018568902190178208,0.011903142429601415,0.0008842334376275337,0.011903142429601415,0.024826554210311522,0.0069378315875391105,0.014963950482927493,0.017548632839069513,0.010338729424568085,0.019045027887362263,0.010950891035233301,0.013671609304856482,0.002244592572439124,0.004965310842062304,0.02373826690246225,0.010270711467827506,0.024758536253570943,0.0165963814447014,0.013671609304856482,0.012311250170044892,0.008638280506053598,0.013195483607672425,0.01707250714188546,0.008026118895388382,0.019113045844102842,0.016052237790776764,0.005849544279689838,0.018364848319956467,0.02203781798394776,0.02367024894572167,0.008570262549313019,0.02543871582097674,0.016868453271663718,0.005917562236430417,0.023330159162018773,0.019385117671065162,0.016868453271663718,0.02938375731193035,0.024554482383349206,0.019249081757584004,0.02652700312882601,0.023194123248537615,0.009522513943681131,0.021629710243504286,0.0139436811318188
C3,0.020844307321845137,0.004364512002408007,0.01813529987207465,0.00571901572729325,0.014598540145985401,0.017081796974941683,0.042365866506132895,0.019188802769207616,0.012416284144781398,0.004364512002408007,0.010836029799081947,0.0029347580705846943,0.005192264278726767,0.015351042215366092,0.015200541801489954,0.0047407630370983524,0.010836029799081947,0.01948980359695989,0.020317555873278652,0.012642034765595606,0.007224019866054632,0.02867032884340432,0.024155316427120176,0.017081796974941683,0.015200541801489954,0.005869516141169389,0.0030100082775227632,0.019264052976145685,0.022725562495296864,0.02633757242832418,0.007976521935435323,0.019113552562269546,0.01384603807660471,0.01896305214839341,0.02626232222138611,0.0033110091052750393,0.011287531040710362,0.021822560012040033,0.014598540145985401,0.028218827601775905,0.027993076980961696,0.025208819324253142,0.017458048009632028,0.031981337948679356,0.00489126345097449,0.026036571600571903,0.029648581533599217,0.016178794491684852,0.0060200165550455265,0.01956505380389796,0.024004816013244036,0.020844307321845137,0.004966513657912559,0.021446308977349688,0.008352772970125669,0.01813529987207465,0.006095266761983595,0.010459778764391602,0.016404545112499058,0.021220558356535482,0.016856046354127473,0.008578523590939875,0.006095266761983595
T7,0.020457697642163663,0.016036754507628294,0.009448682385575589,0.009535367545076282,0.020284327323162276,0.009968793342579751,0.022538141470180306,0.051490984743411926,0.003294036061026352,0.006761442441054091,0.013436199722607489,0.00598127600554785,0.021324549237170597,0.013089459084604715,0.016123439667128987,0.014303051317614425,0.010488904299583912,0.025052011095700415,0.020197642163661583,0.022711511789181692,0.024011789181692094,0.031466712898751734,0.01742371705963939,0.024965325936199722,0.012916088765603328,0.003294036061026352,0.011355755894590846,0.010488904299583912,0.02886615811373093,0.021584604715672678,0.014389736477115118,0.03129334257975035,0.008668515950069348,0.02643897364771151,0.010055478502080445,0.010748959778085992,0.0018203883495145632,0.021064493758668517,0.009622052704576976,0.027652565880721222,0.017337031900138695,0.02782593619972261,0.015343273231622746,0.020457697642163663,0.01690360610263523,0.014563106796116505,0.01647018030513176,0.0054611650485436895,0.011529126213592233,0.01716366158113731,0.01794382801664355,0.014303051317614425,0.005287794729542303,0.010835644937586686,0.025225381414701802,0.01542995839112344,0.014563106796116505,0.008148404993065187,0.0079750346740638,0.009535367545076282,0.008061719833564494,0.014649791955617199,0.004334257975034674
TP9,0.001207324434905091,0.0131464216245221,0.024347709437252667,0.027500167683949292,0.020926956871688242,0.023542826480649273,0.011335434972164464,0.0027500167683949294,0.04413441545375277,0.028237977060835737,0.020457441813669597,0.025286739553289958,0.013750083841974646,0.00918908042122208,0.02246964920517808,0.01596351197263398,0.008853712522637332,0.010932993493862767,0.0068415051311288486,0.021731839828291636,0.012408612247635656,0.008786638942920384,0.015561070494332283,0.011067140653296666,0.009122006841505131,0.029780669394325575,0.019317190958481455,0.013750083841974646,0.016097659132067878,0.01066469917499497,0.0017439130726406868,0.0026158696089610303,0.0262928432490442,0.0016768394929237373,0.017640351465557716,0.022067207726876384,0.016567174190086523,0.0049634448990542625,0.020926956871688242,0.013280568783956,0.016365953450935677,0.007176873029713596,0.008317123884901738,0.014286672479710242,0.014085451740559394,0.00932322758065598,0.014085451740559394,0.014823261117445839,0.017506204306123818,0.011268361392447515,0.008384197464618687,0.012676906566503453,0.027097726205647595,0.010463478435844121,0.018512308001878062,0.020859883291971294,0.018244013683010263,0.027164799785364544,0.025689181031591655,0.019518411697632302,0.007780535247166142,0.02508551881413911,0.024347709437252667
CP5,0.007205872449323187,0.01865445484544414,0.018183042629133277,0.022223718768940668,0.01582598154757896,0.025927671897097448,0.004040676139807395,0.0053875681864098595,0.028150043773991516,0.05145127618021415,0.033268233551080884,0.03293151053943026,0.010842480975149841,0.00013468920466024647,0.01804835342447303,0.018991177857094754,0.011717960805441444,0.006532426426021955,0.009428244326217253,0.02511953666913597,0.0162300491615597,0.002559094888544683,0.015354569331268098,6.734460233012324e-05,0.011919994612431813,0.026331739511078187,0.027813320762340898,0.008956832109906391,0.004848811367768873,0.003636608525826655,0.008620109098255774,0.011987339214761937,0.021886995757290053,0.011179203986800458,0.008350730688935281,0.024244056838844365,0.013266886659034279,0.007407906256313557,0.011785305407771568,0.001683615058253081,0.005791635800390599,0.0023570610815543134,0.019731968482726108,0.005522257391070106,0.020944171324668328,0.010169034951848609,0.011044514782140212,0.013670954273015018,0.022358407973600915,0.01804835342447303,0.012997508249713786,0.00249175028621456,0.0440433699239006,0.005252878981749613,0.021078860529328575,0.02929490201360361,0.031382584685837434,0.02417671223651424,0.018991177857094754,0.018991177857094754,0.0066671156306822,0.026331739511078187,0.026466428715738434
